time,datetime,elevation,slope,aspect,hillshade
1279929600000,2010-07-24,1894.8502197265625,0,282,181
1279929600000,2010-07-24,1899.294189453125,0,13,180
1307664000000,2011-06-10,1896.09423828125,2,134,175
1308096000000,2011-06-15,1890.7255859375,0,159,180
1308096000000,2011-06-15,1894.085693359375,0,201,181
1313193600000,2011-08-13,1896.638671875,0,181,180
1396915200000,2014-04-08,1895.4228515625,0,268,181
1399852800000,2014-05-12,1893.1593017578125,0,261,182
1426118400000,2015-03-12,1897.635009765625,0,201,181
1429920000000,2015-04-25,1886.740478515625,0,152,180
1429920000000,2015-04-25,1917.1036376953125,1,305,182
1429920000000,2015-04-25,1893.881103515625,0,73,180
1430265600000,2015-04-29,1893.3485107421875,1,199,181
1432857600000,2015-05-29,1893.906494140625,0,170,180
1433203200000,2015-06-02,1894.670166015625,0,227,181
1433721600000,2015-06-08,1893.362548828125,0,206,181
1434240000000,2015-06-14,1896.511474609375,1,220,182
1435622400000,2015-06-30,1892.7694091796875,0,244,182
1436140800000,2015-07-06,1894.49365234375,0,165,180
1438300800000,2015-07-31,1895.1583251953125,1,240,183
1438300800000,2015-07-31,1893.03759765625,0,231,181
1438387200000,2015-08-01,1895.721923828125,1,173,180
1438732800000,2015-08-05,1895.4862060546875,1,225,182
1439510400000,2015-08-14,1890.6107177734375,0,239,181
1441670400000,2015-09-08,1893.10498046875,0,222,181
1442966400000,2015-09-23,1896.650390625,0,230,181
1443139200000,2015-09-25,1895.57373046875,1,213,181
1458691200000,2016-03-23,1894.1209716796875,0,210,181
1492128000000,2017-04-14,1892.46484375,0,214,181
1492300800000,2017-04-16,1895.0035400390625,0,177,180
